Date,Location,Game,Frame1-1,Frame1-2,Frame2-1,Frame2-2,Frame3-1,Frame3-2,Frame4-1,Frame4-2,Frame5-1,Frame5-2,Frame6-1,Frame6-2,Frame7-1,Frame7-2,Frame8-1,Frame8-2,Frame9-1,Frame9-2,Frame10-1,Frame10-2,Frame10-3
06/12/2025,Kai Tak,1,7,/,8,-,9,/,1,/,X,,6,2,8,/,4,5,8,-,3,3,
06/12/2025,Kai Tak,2,9,/,9,/,9,/,X,,8,/,9,/,3,4,6,2,9,-,3,3,
06/12/2025,Kai Tak,3,6,1,7,/,8,1,7,/,1,8,9,-,9,/,9,/,8,1,7,/,X
06/12/2025,Kai Tak,4,6,/,1,7,9,/,8,1,9,-,8,/,X,,X,,9,-,3,4,
06/12/2025,Kai Tak,5,X,,9,-,9,/,X,,9,-,X,,9,-,6,/,6,3,5,2,
06/12/2025,Kai Tak,6,3,4,7,2,5,/,7,-,8,-,6,1,X,,9,-,X,,9,-,
06/12/2025,Kai Tak,7,6,/,7,1,X,,X,,8,/,X,,9,-,9,/,8,-,8,1,
06/12/2025,Kai Tak,8,6,/,7,1,1,8,8,-,-,/,7,-,X,,9,/,8,/,6,3,
06/12/2025,Kai Tak,9,X,,7,-,9,-,3,6,8,-,X,,9,/,8,1,8,1,7,1,
06/12/2025,Kai Tak,10,4,5,9,/,8,1,X,,9,/,X,,9,/,8,/,1,/,9,/,4
04/21/2025,Kai Tak,2,4,5,5,-,7,2,X,,6,1,2,7,X,,9,/,X,,3,6,
04/21/2025,Kai Tak,3,X,,6,-,8,-,5,-,7,/,-,/,1,7,-,1,7,1,9,-,
04/21/2025,Kai Tak,4,8,1,1,4,4,,4,2,9,,8,,5,4,6,2,7,1,1,7,
04/21/2025,Kai Tak,5,4,/,2,/,9,-,9,-,9,/,8,1,X,,3,1,9,/,8,-,
04/21/2025,Kai Tak,6,8,1,5,1,9,-,9,-,4,/,7,-,9,-,3,4,1,5,9,F,
04/21/2025,Kai Tak,7,X,,6,2,3,5,8,-,3,/,-,3,7,-,X,,9,-,9,/,6
04/21/2025,Kai Tak,8,9,-,9,/,9,-,9,/,3,/,2,7,9,-,5,/,-,5,8,/,6
04/21/2025,Kai Tak,10,7,2,9,-,9,/,8,/,9,-,7,-,-,9,6,3,9,-,5,4,
05/12/2025,Kai Tak,1,1,7,3,5,5,/,6,/,7,/,9,-,4,5,X,,5,1,9,-,
05/12/2025,Kai Tak,2,4,/,6,3,1,2,8,1,7,/,9,/,3,/,8,/,X,,9,/,8
05/12/2025,Kai Tak,3,X,,3,/,9,/,6,1,7,-,6,-,7,1,4,5,8,/,3,/,9
05/12/2025,Kai Tak,4,9,-,9,-,7,-,7,1,7,-,9,/,6,3,X,,7,/,7,/,8
05/12/2025,Kai Tak,5,9,-,9,-,8,/,9,-,8,-,2,-,8,/,9,-,X,,X,9,/
05/12/2025,Kai Tak,6,8,-,9,/,8,/,9,/,9,/,3,2,7,2,6,2,7,2,8,1,
05/12/2025,Kai Tak,7,6,3,9,/,9,-,8,1,X,,1,6,6,-,8,-,2,5,X,9,-
05/12/2025,Kai Tak,8,6,-,7,/,9,/,X,,1,/,-,5,X,,-,5,8,1,7,/,1
05/12/2025,Kai Tak,9,3,4,5,3,7,1,-,9,3,1,X,,8,-,7,1,X,,6,/,9
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
