Date,Location,Game,Spare,Strike,Pins,Total
14/02/2025,Kai Tak,1,1,1,67,84
14/02/2025,Kai Tak,2,6,0,71,90
14/02/2025,Kai Tak,3,2,1,79,101
14/02/2025,Kai Tak,4,3,0,81,104
14/02/2025,Kai Tak,5,1,2,78,94
14/02/2025,Kai Tak,6,2,0,85,96
05/03/2025,Kai Tak,1,0,0,75,75
05/03/2025,Kai Tak,2,1,3,85,115
05/03/2025,Kai Tak,3,2,3,89,123
05/03/2025,Kai Tak,4,0,3,83,108
05/03/2025,Kai Tak,5,3,2,87,129
05/03/2025,Kai Tak,6,2,1,80,101
05/03/2025,Kai Tak,7,3,0,84,107
05/03/2025,Kai Tak,8,0,0,80,80
05/03/2025,Kai Tak,9,4,0,92,125
05/03/2025,Kai Tak,10,4,1,92,132
10/03/2025,Tai Wo Hau,1,1,0,69,76
10/03/2025,Tai Wo Hau,2,1,4,89,124
10/03/2025,Tai Wo Hau,3,1,1,79,91
10/03/2025,Tai Wo Hau,4,0,0,83,83
10/03/2025,Tai Wo Hau,5,2,2,88,120
10/03/2025,Tai Wo Hau,6,2,2,77,100
10/03/2025,Tai Wo Hau,7,2,1,75,95
10/03/2025,Tai Wo Hau,8,2,0,71,81
10/03/2025,Tai Wo Hau,9,1,2,77,96
14/03/2025,Kai Tak,1,2,3,91,128
14/03/2025,Kai Tak,2,0,0,70,70
14/03/2025,Kai Tak,3,0,1,77,83
14/03/2025,Kai Tak,4,1,1,82,97
14/03/2025,Kai Tak,5,1,2,87,115
14/03/2025,Kai Tak,6,2,1,84,107
14/03/2025,Kai Tak,7,2,2,78,98
14/03/2025,Kai Tak,8,2,3,89,144
14/03/2025,Kai Tak,9,2,1,74,99
14/03/2025,Kai Tak,10,2,2,90,118
17/03/2025,Kai Tak,1,1,2,79,112
17/03/2025,Kai Tak,2,0,3,75,112
17/03/2025,Kai Tak,3,4,0,80,107
17/03/2025,Kai Tak,4,2,0,86,98
19/03/2025,Tai Wo Hau,1,1,0,72,80
19/03/2025,Tai Wo Hau,2,2,1,83,108
19/03/2025,Tai Wo Hau,3,2,2,86,105
19/03/2025,Tai Wo Hau,4,4,0,82,110
19/03/2025,Tai Wo Hau,5,2,3,88,126
19/03/2025,Tai Wo Hau,6,0,0,71,71
19/03/2025,Tai Wo Hau,7,1,1,75,94
19/03/2025,Tai Wo Hau,8,1,0,81,89
07/04/2025,Kai Tak,1,3,1,89,108
07/04/2025,Kai Tak,2,0,1,82,91
07/04/2025,Kai Tak,3,4,0,71,97
07/04/2025,Kai Tak,4,2,2,93,124
07/04/2025,Kai Tak,5,3,1,91,125
07/04/2025,Kai Tak,6,1,1,85,101
07/04/2025,Kai Tak,7,1,1,83,100
07/04/2025,Kai Tak,8,2,0,79,92
07/04/2025,Kai Tak,9,2,2,85,118
07/04/2025,Kai Tak,10,1,1,85,104
17/04/2025,Kai Tak,1,2,4,83,125
17/04/2025,Kai Tak,2,3,1,90,112
17/04/2025,Kai Tak,3,3,1,89,115
17/04/2025,Kai Tak,4,3,1,85,113
17/04/2025,Kai Tak,5,0,3,83,106
17/04/2025,Kai Tak,6,1,3,90,134
17/04/2025,Kai Tak,7,1,1,83,98
17/04/2025,Kai Tak,8,2,1,83,104
17/04/2025,Kai Tak,9,2,1,87,112
17/04/2025,Kai Tak,10,3,2,85,126
